"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Ledaig 42yo Dusgadh","9.46","0.24","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.28","0.28","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 25yo","9.21","0.23","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Spectrum (Batch 1)","9.20","0.22","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 40yo","9.17","0.43","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 25yo","9.14","0.23","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 30yo","9.14","0.42","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 25yo","9.14","0.27","18","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Spectrum (all batches)","9.13","0.18","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Kavalan Solist Amontillado Cask","9.13","0.21","5","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Yamazaki 18yo","9.13","0.21","21","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 33)","9.12","0.13","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.12","0.18","8","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Amrut Spectrum 004 (Batch 2)","9.12","0.27","3","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.12","0.28","17","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Tamdhu 30yo (MacPhail Collection 2009)","9.12","0.10","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
